t(s),x(m),v(m/s)
2.439,0.15,0.736
2.44,0.15,0.738
2.441,0.151,0.739
2.442,0.152,0.741
2.443,0.153,0.743
2.444,0.153,0.745
2.445,0.154,0.747
2.446,0.155,0.748
2.447,0.156,0.75
2.448,0.156,0.752
2.449,0.157,0.754
2.45,0.158,0.756
2.451,0.159,0.757
2.452,0.159,0.759
2.453,0.16,0.761
2.454,0.161,0.763
2.455,0.162,0.765
2.456,0.163,0.767
2.457,0.163,0.768
2.458,0.164,0.77
2.459,0.165,0.772
2.46,0.166,0.774
2.461,0.166,0.776
2.462,0.167,0.777
2.463,0.168,0.779
2.464,0.169,0.781
2.465,0.169,0.783
2.466,0.17,0.785
2.467,0.171,0.786
2.468,0.172,0.788
2.469,0.173,0.79
2.47,0.173,0.792
2.471,0.174,0.794
2.472,0.175,0.795
2.473,0.176,0.797
2.474,0.177,0.799
2.475,0.177,0.801
2.476,0.178,0.803
2.477,0.179,0.805
2.478,0.18,0.806
2.479,0.181,0.808
2.48,0.181,0.81
2.481,0.182,0.812
2.482,0.183,0.814
2.483,0.184,0.815
2.484,0.185,0.817
2.485,0.185,0.819
2.486,0.186,0.821
2.487,0.187,0.823
2.488,0.188,0.824
2.489,0.189,0.826
2.49,0.19,0.828
2.491,0.19,0.83
2.492,0.191,0.832
2.493,0.192,0.833
2.494,0.193,0.835
2.495,0.194,0.837
2.496,0.195,0.839
2.497,0.195,0.841
2.498,0.196,0.842
2.499,0.197,0.844
2.5,0.198,0.846
2.501,0.199,0.848
2.502,0.2,0.85
2.503,0.201,0.852
2.504,0.201,0.853
2.505,0.202,0.855
2.506,0.203,0.857
2.507,0.204,0.859
2.508,0.205,0.861
2.509,0.206,0.862
2.51,0.207,0.864
2.511,0.207,0.866
2.512,0.208,0.868
2.513,0.209,0.87
2.514,0.21,0.871
2.515,0.211,0.873
2.516,0.212,0.875
2.517,0.213,0.877
2.518,0.214,0.879
2.519,0.214,0.88
2.52,0.215,0.882
2.521,0.216,0.884
2.522,0.217,0.886
2.523,0.218,0.888
2.524,0.219,0.889
2.525,0.22,0.891
2.526,0.221,0.893
2.527,0.221,0.895
2.528,0.222,0.897
2.529,0.223,0.899
2.53,0.224,0.9
2.531,0.225,0.902
2.532,0.226,0.904
2.533,0.227,0.906
2.534,0.228,0.908
2.535,0.229,0.909
2.536,0.23,0.911
2.537,0.231,0.913
2.538,0.231,0.915
2.539,0.232,0.917
2.54,0.233,0.918
2.541,0.234,0.92
2.542,0.235,0.922
2.543,0.236,0.924
2.544,0.237,0.926
2.545,0.238,0.927
2.546,0.239,0.929
2.547,0.24,0.931
2.548,0.241,0.933
2.549,0.242,0.935
2.55,0.243,0.936
2.551,0.243,0.938
2.552,0.244,0.94
2.553,0.245,0.942
2.554,0.246,0.944
2.555,0.247,0.946
2.556,0.248,0.947
2.557,0.249,0.949
2.558,0.25,0.951
2.559,0.251,0.953
2.56,0.252,0.955
2.561,0.253,0.956
2.562,0.254,0.958
2.563,0.255,0.96
2.564,0.256,0.962
2.565,0.257,0.964
2.566,0.258,0.965
2.567,0.259,0.967
2.568,0.26,0.969
2.569,0.261,0.971
2.57,0.262,0.973
2.571,0.263,0.974
2.572,0.264,0.976
2.573,0.265,0.978
2.574,0.266,0.98
2.575,0.267,0.982
2.576,0.268,0.983
2.577,0.268,0.985
2.578,0.269,0.987
2.579,0.27,0.989
2.58,0.271,0.991
2.581,0.272,0.993
2.582,0.273,0.994
2.583,0.274,0.996
2.584,0.275,0.998
2.585,0.276,1.0
2.586,0.277,1.002
2.587,0.278,1.003
2.588,0.279,1.005
2.589,0.28,1.007
2.59,0.281,1.009
2.591,0.282,1.011
2.592,0.283,1.012
2.593,0.284,1.014
2.594,0.286,1.016
2.595,0.287,1.018
2.596,0.288,1.02
2.597,0.289,1.021
2.598,0.29,1.023
2.599,0.291,1.025
2.6,0.292,1.027
2.601,0.293,1.029
2.602,0.294,1.03
2.603,0.295,1.032
2.604,0.296,1.034
2.605,0.297,1.036
2.606,0.298,1.038
2.607,0.299,1.04
2.608,0.3,1.041
2.609,0.301,1.043
2.61,0.302,1.045
2.611,0.303,1.047
2.612,0.304,1.049
2.613,0.305,1.05
2.614,0.306,1.052
2.615,0.307,1.054
2.616,0.308,1.056
2.617,0.309,1.058
2.618,0.31,1.059
2.619,0.311,1.061
2.62,0.313,1.063
2.621,0.314,1.065
2.622,0.315,1.067
2.623,0.316,1.068
2.624,0.317,1.07
2.625,0.318,1.072
2.626,0.319,1.074
2.627,0.32,1.076
2.628,0.321,1.077
2.629,0.322,1.079
2.63,0.323,1.081
2.631,0.324,1.083
2.632,0.325,1.085
2.633,0.327,1.087
2.634,0.328,1.088
2.635,0.329,1.09
2.636,0.33,1.092
2.637,0.331,1.094
2.638,0.332,1.096
2.639,0.333,1.097
2.64,0.334,1.099
2.641,0.335,1.101
2.642,0.336,1.103
2.643,0.337,1.105
2.644,0.339,1.106
2.645,0.34,1.108
2.646,0.341,1.11
2.647,0.342,1.112
2.648,0.343,1.114
2.649,0.344,1.115
2.65,0.345,1.117
2.651,0.346,1.119
2.652,0.347,1.121
2.653,0.349,1.123
2.654,0.35,1.124
2.655,0.351,1.126
2.656,0.352,1.128
2.657,0.353,1.13
2.658,0.354,1.132
2.659,0.355,1.134
2.66,0.356,1.135
2.661,0.358,1.137
2.662,0.359,1.139
2.663,0.36,1.141
2.664,0.361,1.143
2.665,0.362,1.144
2.666,0.363,1.146
2.667,0.364,1.148
2.668,0.366,1.15
2.669,0.367,1.152
2.67,0.368,1.153
2.671,0.369,1.155
2.672,0.37,1.157
2.673,0.371,1.159
2.674,0.373,1.161
2.675,0.374,1.162
2.676,0.375,1.164
2.677,0.376,1.166
2.678,0.377,1.168
2.679,0.378,1.17
2.68,0.38,1.172
2.681,0.381,1.173
2.682,0.382,1.175
2.683,0.383,1.177
2.684,0.384,1.179
2.685,0.385,1.181
2.686,0.387,1.182
2.687,0.388,1.184
2.688,0.389,1.186
2.689,0.39,1.188
2.69,0.391,1.19
2.691,0.393,1.191
2.692,0.394,1.193
2.693,0.395,1.195
2.694,0.396,1.197
2.695,0.397,1.199
2.696,0.399,1.2
2.697,0.4,1.202
2.698,0.401,1.204
2.699,0.402,1.206
2.7,0.403,1.208
2.701,0.405,1.209
2.702,0.406,1.211
2.703,0.407,1.213
2.704,0.0,0.01
2.705,0.0,0.02
2.706,0.0,0.029
2.707,0.0,0.039
2.708,0.0,0.049
2.709,0.0,0.059
2.71,0.0,0.069
2.711,0.0,0.078
2.712,0.0,0.088
2.713,0.0,0.098
2.714,0.001,0.108
2.715,0.001,0.118
2.716,0.001,0.128
2.717,0.001,0.137
2.718,0.001,0.147
2.719,0.001,0.157
2.72,0.001,0.167
2.721,0.002,0.177
2.722,0.002,0.186
2.723,0.002,0.196
2.724,0.002,0.206
2.725,0.002,0.216
2.726,0.003,0.226
2.727,0.003,0.235
2.728,0.003,0.245
2.729,0.003,0.255
2.73,0.004,0.265
2.731,0.004,0.275
2.732,0.004,0.284
2.733,0.004,0.294
2.734,0.005,0.304
2.735,0.005,0.314
2.736,0.005,0.324
2.737,0.006,0.334
2.738,0.006,0.343
2.739,0.006,0.353
2.74,0.007,0.363
2.741,0.007,0.373
2.742,0.007,0.383
2.743,0.008,0.392
2.744,0.008,0.402
2.745,0.009,0.412
2.746,0.009,0.422
2.747,0.009,0.432
2.748,0.01,0.441
2.749,0.01,0.451
2.75,0.011,0.461
2.751,0.011,0.471
2.752,0.012,0.481
2.753,0.012,0.491
2.754,0.013,0.5
2.755,0.013,0.51
2.756,0.014,0.52
2.757,0.014,0.53
2.758,0.015,0.54
2.759,0.015,0.549
2.76,0.016,0.559
2.761,0.017,0.569
2.762,0.017,0.579
2.763,0.018,0.589
2.764,0.018,0.598
2.765,0.019,0.608
2.766,0.019,0.618
2.767,0.02,0.628
2.768,0.021,0.638
2.769,0.021,0.647
2.77,0.022,0.657
2.771,0.023,0.667
2.772,0.023,0.677
2.773,0.024,0.687
2.774,0.025,0.697
2.775,0.025,0.706
2.776,0.026,0.716
2.777,0.027,0.726
2.778,0.028,0.736
2.779,0.028,0.746
2.78,0.029,0.755
2.781,0.03,0.765
2.782,0.031,0.775
2.783,0.031,0.785
2.784,0.032,0.795
2.785,0.033,0.804
2.786,0.034,0.814
2.787,0.035,0.824
2.788,0.035,0.834
2.789,0.036,0.844
2.79,0.037,0.853
2.791,0.038,0.863
2.792,0.039,0.873
2.793,0.04,0.883
2.794,0.041,0.893
2.795,0.042,0.903
2.796,0.042,0.912
2.797,0.043,0.922
2.798,0.044,0.932
2.799,0.045,0.942
2.8,0.046,0.952
2.801,0.047,0.961
2.802,0.048,0.971
2.803,0.049,0.981
2.804,0.05,0.991
2.805,0.0,0.002
2.806,0.0,0.004
2.807,0.0,0.005
2.808,0.0,0.007
2.809,0.0,0.009
2.81,0.0,0.011
2.811,0.0,0.013
2.812,0.0,0.014
2.813,0.0,0.016
2.814,0.0,0.018
2.815,0.0,0.02
2.816,0.0,0.022
2.817,0.0,0.024
2.818,0.0,0.025
2.819,0.0,0.027
2.82,0.0,0.029
2.821,0.0,0.031
2.822,0.0,0.033
2.823,0.0,0.034
2.824,0.0,0.036
2.825,0.0,0.038
2.826,0.0,0.04
2.827,0.0,0.042
2.828,0.001,0.043
2.829,0.001,0.045
2.83,0.001,0.047
2.831,0.001,0.049
2.832,0.001,0.051
2.833,0.001,0.052
2.834,0.001,0.054
2.835,0.001,0.056
2.836,0.001,0.058
2.837,0.001,0.06
2.838,0.001,0.061
2.839,0.001,0.063
2.84,0.001,0.065
2.841,0.001,0.067
2.842,0.001,0.069
2.843,0.001,0.071
2.844,0.001,0.072
2.845,0.002,0.074
2.846,0.002,0.076
2.847,0.002,0.078
2.848,0.002,0.08
2.849,0.002,0.081
2.85,0.002,0.083
2.851,0.002,0.085
2.852,0.002,0.087
2.853,0.002,0.089
2.854,0.002,0.09
2.855,0.002,0.092
2.856,0.002,0.094
2.857,0.003,0.096
2.858,0.003,0.098
2.859,0.003,0.099
2.86,0.003,0.101
2.861,0.003,0.103
2.862,0.003,0.105
2.863,0.003,0.107
2.864,0.003,0.108
2.865,0.003,0.11
2.866,0.003,0.112
2.867,0.004,0.114
2.868,0.004,0.116
2.869,0.004,0.118
2.87,0.004,0.119
2.871,0.004,0.121
2.872,0.004,0.123
2.873,0.004,0.125
2.874,0.004,0.127
2.875,0.005,0.128
2.876,0.005,0.13
2.877,0.005,0.132
2.878,0.005,0.134
2.879,0.005,0.136
2.88,0.005,0.137
2.881,0.005,0.139
2.882,0.005,0.141
2.883,0.006,0.143
2.884,0.006,0.145
2.885,0.006,0.146
2.886,0.006,0.148
2.887,0.006,0.15
2.888,0.006,0.152
2.889,0.007,0.154
2.89,0.007,0.155
2.891,0.007,0.157
2.892,0.007,0.159
2.893,0.007,0.161
2.894,0.007,0.163
2.895,0.007,0.165
2.896,0.008,0.166
2.897,0.008,0.168
2.898,0.008,0.17
2.899,0.008,0.172
2.9,0.008,0.174
2.901,0.009,0.175
2.902,0.009,0.177
2.903,0.009,0.179
2.904,0.009,0.181
2.905,0.009,0.183
2.906,0.009,0.184
2.907,0.01,0.186
2.908,0.01,0.188
2.909,0.01,0.19
2.91,0.01,0.192
2.911,0.01,0.193
2.912,0.011,0.195
2.913,0.011,0.197
2.914,0.011,0.199
2.915,0.011,0.201
2.916,0.011,0.202
2.917,0.012,0.204
2.918,0.012,0.206
2.919,0.012,0.208
2.92,0.012,0.21
2.921,0.012,0.212
2.922,0.013,0.213
2.923,0.013,0.215
2.924,0.013,0.217
2.925,0.013,0.219
2.926,0.013,0.221
2.927,0.014,0.222
2.928,0.014,0.224
2.929,0.014,0.226
2.93,0.014,0.228
2.931,0.015,0.23
2.932,0.015,0.231
2.933,0.015,0.233
2.934,0.015,0.235
2.935,0.016,0.237
2.936,0.016,0.239
2.937,0.016,0.24
2.938,0.016,0.242
2.939,0.016,0.244
2.94,0.017,0.246
2.941,0.017,0.248
2.942,0.017,0.249
2.943,0.017,0.251
2.944,0.018,0.253
2.945,0.018,0.255
2.946,0.018,0.257
2.947,0.018,0.259
2.948,0.019,0.26
2.949,0.019,0.262
2.95,0.019,0.264
2.951,0.02,0.266
2.952,0.02,0.268
2.953,0.02,0.269
2.954,0.02,0.271
2.955,0.021,0.273
2.956,0.021,0.275
2.957,0.021,0.277
2.958,0.021,0.278
2.959,0.022,0.28
2.96,0.022,0.282
2.961,0.022,0.284
2.962,0.023,0.286
2.963,0.023,0.287
2.964,0.023,0.289
2.965,0.023,0.291
2.966,0.024,0.293
2.967,0.024,0.295
2.968,0.024,0.296
2.969,0.025,0.298
2.97,0.025,0.3
2.971,0.025,0.302
2.972,0.026,0.304
2.973,0.026,0.306
2.974,0.026,0.307
2.975,0.026,0.309
2.976,0.027,0.311
2.977,0.027,0.313
2.978,0.027,0.315
2.979,0.028,0.316
2.98,0.028,0.318
2.981,0.028,0.32
2.982,0.029,0.322
2.983,0.029,0.324
2.984,0.029,0.325
2.985,0.03,0.327
2.986,0.03,0.329
2.987,0.03,0.331
2.988,0.031,0.333
2.989,0.031,0.334
2.99,0.031,0.336
2.991,0.032,0.338
2.992,0.032,0.34
2.993,0.032,0.342
2.994,0.033,0.343
2.995,0.033,0.345
2.996,0.033,0.347
2.997,0.034,0.349
2.998,0.034,0.351
2.999,0.034,0.353
3.0,0.035,0.354
3.001,0.035,0.356
3.002,0.035,0.358
3.003,0.036,0.36
3.004,0.036,0.362
3.005,0.037,0.363
3.006,0.037,0.365
3.007,0.037,0.367
3.008,0.038,0.369
3.009,0.038,0.371
3.01,0.038,0.372
3.011,0.039,0.374
3.012,0.039,0.376
3.013,0.039,0.378
3.014,0.04,0.38
3.015,0.04,0.381
3.016,0.041,0.383
3.017,0.041,0.385
3.018,0.041,0.387
3.019,0.042,0.389
3.02,0.042,0.391
3.021,0.043,0.392
3.022,0.043,0.394
3.023,0.043,0.396
3.024,0.044,0.398
3.025,0.044,0.4
3.026,0.045,0.401
3.027,0.045,0.403
3.028,0.045,0.405
3.029,0.046,0.407
3.03,0.046,0.409
3.031,0.047,0.41
3.032,0.047,0.412
3.033,0.047,0.414
3.034,0.048,0.416
3.035,0.048,0.418
3.036,0.049,0.419
3.037,0.049,0.421
3.038,0.049,0.423
3.039,0.05,0.425
3.04,0.05,0.427
3.041,0.051,0.428
3.042,0.051,0.43
3.043,0.052,0.432
3.044,0.052,0.434
3.045,0.053,0.436
3.046,0.053,0.438
3.047,0.053,0.439
3.048,0.054,0.441
3.049,0.054,0.443
3.05,0.055,0.445
3.051,0.055,0.447
3.052,0.056,0.448
3.053,0.056,0.45
3.054,0.056,0.452
3.055,0.057,0.454
3.056,0.057,0.456
3.057,0.058,0.457
3.058,0.058,0.459
3.059,0.059,0.461
3.06,0.059,0.463
3.061,0.06,0.465
3.062,0.06,0.466
3.063,0.061,0.468
3.064,0.061,0.47
3.065,0.062,0.472
3.066,0.062,0.474
3.067,0.063,0.475
3.068,0.063,0.477
3.069,0.063,0.479
3.07,0.064,0.481
3.071,0.064,0.483
3.072,0.065,0.485
3.073,0.065,0.486
3.074,0.066,0.488
3.075,0.066,0.49
3.076,0.067,0.492
3.077,0.067,0.494
3.078,0.068,0.495
3.079,0.068,0.497
3.08,0.069,0.499
3.081,0.069,0.501
3.082,0.07,0.503
3.083,0.07,0.504
3.084,0.071,0.506
3.085,0.071,0.508
3.086,0.072,0.51
3.087,0.072,0.512
3.088,0.073,0.513
3.089,0.073,0.515
3.09,0.074,0.517
3.091,0.074,0.519
3.092,0.075,0.521
3.093,0.075,0.522
3.094,0.076,0.524
3.095,0.077,0.526
3.096,0.077,0.528
3.097,0.078,0.53
3.098,0.078,0.532
3.099,0.079,0.533
3.1,0.079,0.535
3.101,0.08,0.537
3.102,0.08,0.539
3.103,0.081,0.541
3.104,0.081,0.542
3.105,0.082,0.544
3.106,0.082,0.546
3.107,0.083,0.548
3.108,0.084,0.55
3.109,0.084,0.551
3.11,0.085,0.553
3.111,0.085,0.555
3.112,0.086,0.557
3.113,0.086,0.559
3.114,0.087,0.56
3.115,0.087,0.562
3.116,0.088,0.564
3.117,0.089,0.566
3.118,0.089,0.568
3.119,0.09,0.569
3.12,0.09,0.571
3.121,0.091,0.573
3.122,0.091,0.575
3.123,0.092,0.577
3.124,0.093,0.579
3.125,0.093,0.58
3.126,0.094,0.582
3.127,0.094,0.584
3.128,0.095,0.586
3.129,0.095,0.588
3.13,0.096,0.589
3.131,0.097,0.591
3.132,0.097,0.593
3.133,0.098,0.595
3.134,0.098,0.597
3.135,0.099,0.598
3.136,0.1,0.6
3.137,0.1,0.602
3.138,0.101,0.604
3.139,0.101,0.606
3.14,0.102,0.607
3.141,0.103,0.609
3.142,0.103,0.611
3.143,0.104,0.613
3.144,0.104,0.615
3.145,0.105,0.616
3.146,0.106,0.618
3.147,0.106,0.62
3.148,0.107,0.622
3.149,0.108,0.624
3.15,0.108,0.626
3.151,0.109,0.627
3.152,0.109,0.629
3.153,0.11,0.631
3.154,0.111,0.633
3.155,0.111,0.635
3.156,0.112,0.636
3.157,0.113,0.638
3.158,0.113,0.64
3.159,0.114,0.642
3.16,0.115,0.644
3.161,0.115,0.645
3.162,0.116,0.647
3.163,0.117,0.649
3.164,0.117,0.651
3.165,0.118,0.653
3.166,0.118,0.654
3.167,0.119,0.656
3.168,0.12,0.658
3.169,0.12,0.66
3.17,0.121,0.662
3.171,0.122,0.663
3.172,0.122,0.665
3.173,0.123,0.667
3.174,0.124,0.669
3.175,0.124,0.671
3.176,0.125,0.673
3.177,0.126,0.674
3.178,0.126,0.676
3.179,0.127,0.678
3.18,0.128,0.68
3.181,0.128,0.682
3.182,0.129,0.683
3.183,0.13,0.685
3.184,0.131,0.687
3.185,0.131,0.689
3.186,0.132,0.691
3.187,0.133,0.692
3.188,0.133,0.694
3.189,0.134,0.696
3.19,0.135,0.698
3.191,0.135,0.7
3.192,0.136,0.701
3.193,0.137,0.703
3.194,0.137,0.705
3.195,0.138,0.707
3.196,0.139,0.709
3.197,0.14,0.71
3.198,0.14,0.712
3.199,0.141,0.714
3.2,0.142,0.716
3.201,0.142,0.718
3.202,0.143,0.72
3.203,0.144,0.721
3.204,0.145,0.723
3.205,0.145,0.725
3.206,0.146,0.727
3.207,0.147,0.729
3.208,0.148,0.73
3.209,0.148,0.732
3.21,0.149,0.734
3.211,0.15,0.736
3.212,0.15,0.738
3.213,0.151,0.739
3.214,0.152,0.741
3.215,0.153,0.743
3.216,0.153,0.745
3.217,0.154,0.747
3.218,0.155,0.748
3.219,0.156,0.75
3.22,0.156,0.752
3.221,0.157,0.754
3.222,0.158,0.756
3.223,0.159,0.757
3.224,0.159,0.759
3.225,0.16,0.761
3.226,0.161,0.763
3.227,0.162,0.765
3.228,0.163,0.767
3.229,0.163,0.768
3.23,0.164,0.77
3.231,0.165,0.772
3.232,0.166,0.774
3.233,0.166,0.776
3.234,0.167,0.777
3.235,0.168,0.779
3.236,0.169,0.781
3.237,0.169,0.783
3.238,0.17,0.785
3.239,0.171,0.786
3.24,0.172,0.788
3.241,0.173,0.79
3.242,0.173,0.792
3.243,0.174,0.794
3.244,0.175,0.795
3.245,0.176,0.797
3.246,0.177,0.799
3.247,0.177,0.801
3.248,0.178,0.803
3.249,0.179,0.805
3.25,0.18,0.806
3.251,0.181,0.808
3.252,0.181,0.81
3.253,0.182,0.812
3.254,0.183,0.814
3.255,0.184,0.815
3.256,0.185,0.817
3.257,0.185,0.819
3.258,0.186,0.821
3.259,0.187,0.823
3.26,0.188,0.824
3.261,0.189,0.826
3.262,0.19,0.828
3.263,0.19,0.83
3.264,0.191,0.832
3.265,0.192,0.833
3.266,0.193,0.835
3.267,0.194,0.837
3.268,0.195,0.839
3.269,0.195,0.841
3.27,0.196,0.842
3.271,0.197,0.844
3.272,0.198,0.846
3.273,0.199,0.848
3.274,0.2,0.85
3.275,0.201,0.852
3.276,0.201,0.853
3.277,0.202,0.855
3.278,0.203,0.857
3.279,0.204,0.859
3.28,0.205,0.861
3.281,0.206,0.862
3.282,0.207,0.864
3.283,0.207,0.866
3.284,0.208,0.868
3.285,0.209,0.87
3.286,0.21,0.871
3.287,0.211,0.873
3.288,0.212,0.875
3.289,0.213,0.877
3.29,0.214,0.879
3.291,0.214,0.88
3.292,0.215,0.882
3.293,0.216,0.884
3.294,0.217,0.886
3.295,0.218,0.888
3.296,0.219,0.889
3.297,0.22,0.891
3.298,0.221,0.893
3.299,0.221,0.895
3.3,0.222,0.897
3.301,0.223,0.899
3.302,0.224,0.9
3.303,0.225,0.902
3.304,0.226,0.904
3.305,0.227,0.906
3.306,0.228,0.908
3.307,0.229,0.909
3.308,0.23,0.911
3.309,0.231,0.913
3.31,0.231,0.915
3.311,0.232,0.917
3.312,0.233,0.918
3.313,0.234,0.92
3.314,0.235,0.922
3.315,0.236,0.924
3.316,0.237,0.926
3.317,0.238,0.927
3.318,0.239,0.929
3.319,0.24,0.931
3.32,0.241,0.933
3.321,0.242,0.935
3.322,0.243,0.936
3.323,0.243,0.938
3.324,0.244,0.94
3.325,0.245,0.942
3.326,0.246,0.944
3.327,0.247,0.946
3.328,0.248,0.947
3.329,0.249,0.949
3.33,0.25,0.951
3.331,0.251,0.953
3.332,0.252,0.955
3.333,0.253,0.956
3.334,0.254,0.958
3.335,0.255,0.96
3.336,0.256,0.962
3.337,0.257,0.964
3.338,0.258,0.965
3.339,0.259,0.967
3.34,0.26,0.969
3.341,0.261,0.971
3.342,0.262,0.973
3.343,0.263,0.974
3.344,0.264,0.976
3.345,0.265,0.978
3.346,0.266,0.98
3.347,0.267,0.982
3.348,0.268,0.983
3.349,0.268,0.985
3.35,0.269,0.987
3.351,0.27,0.989
3.352,0.271,0.991
3.353,0.272,0.993
3.354,0.273,0.994
3.355,0.274,0.996
3.356,0.275,0.998
3.357,0.276,1.0
3.358,0.277,1.002
3.359,0.278,1.003
3.36,0.279,1.005
3.361,0.28,1.007
3.362,0.281,1.009
3.363,0.282,1.011
3.364,0.283,1.012
3.365,0.284,1.014
3.366,0.286,1.016
3.367,0.287,1.018
3.368,0.288,1.02
3.369,0.289,1.021
3.37,0.29,1.023
3.371,0.291,1.025
3.372,0.292,1.027
3.373,0.293,1.029
3.374,0.294,1.03
3.375,0.295,1.032
3.376,0.296,1.034
3.377,0.297,1.036
3.378,0.298,1.038
3.379,0.299,1.04
3.38,0.3,1.041
3.381,0.301,1.043
3.382,0.302,1.045
3.383,0.303,1.047
3.384,0.304,1.049
3.385,0.305,1.05
3.386,0.306,1.052
3.387,0.307,1.054
3.388,0.308,1.056
3.389,0.309,1.058
3.39,0.31,1.059
3.391,0.311,1.061
3.392,0.313,1.063
3.393,0.314,1.065
3.394,0.315,1.067
3.395,0.316,1.068
3.396,0.317,1.07
3.397,0.318,1.072
3.398,0.319,1.074
3.399,0.32,1.076
3.4,0.321,1.077
3.401,0.322,1.079
3.402,0.323,1.081
3.403,0.324,1.083
3.404,0.325,1.085
3.405,0.327,1.087
3.406,0.328,1.088
3.407,0.329,1.09
3.408,0.33,1.092
3.409,0.331,1.094
3.41,0.332,1.096
3.411,0.333,1.097
3.412,0.334,1.099
3.413,0.335,1.101
3.414,0.336,1.103
3.415,0.337,1.105
3.416,0.339,1.106
3.417,0.34,1.108
3.418,0.341,1.11
3.419,0.342,1.112
3.42,0.343,1.114
3.421,0.344,1.115
3.422,0.345,1.117
3.423,0.346,1.119
3.424,0.347,1.121
3.425,0.349,1.123
3.426,0.35,1.124
3.427,0.351,1.126
3.428,0.352,1.128
3.429,0.353,1.13
3.43,0.354,1.132
3.431,0.355,1.134
3.432,0.356,1.135
3.433,0.358,1.137
3.434,0.359,1.139
3.435,0.36,1.141
3.436,0.361,1.143
3.437,0.362,1.144
3.438,0.363,1.146
3.439,0.364,1.148
3.44,0.366,1.15
3.441,0.367,1.152
3.442,0.368,1.153
3.443,0.369,1.155
3.444,0.37,1.157
3.445,0.371,1.159
3.446,0.373,1.161
3.447,0.374,1.162
3.448,0.375,1.164
3.449,0.376,1.166
3.45,0.377,1.168
3.451,0.378,1.17
3.452,0.38,1.172
3.453,0.381,1.173
3.454,0.382,1.175
3.455,0.383,1.177
3.456,0.384,1.179
3.457,0.385,1.181
3.458,0.387,1.182
3.459,0.388,1.184
3.46,0.389,1.186
3.461,0.39,1.188
3.462,0.391,1.19
3.463,0.393,1.191
3.464,0.394,1.193
3.465,0.395,1.195
3.466,0.396,1.197
3.467,0.397,1.199
3.468,0.399,1.2
3.469,0.4,1.202
3.47,0.401,1.204
3.471,0.402,1.206
3.472,0.403,1.208
3.473,0.405,1.209
3.474,0.406,1.211
3.475,0.407,1.213
3.476,0.0,0.01
3.477,0.0,0.02
3.478,0.0,0.029
3.479,0.0,0.039
3.48,0.0,0.049
3.481,0.0,0.059
3.482,0.0,0.069
3.483,0.0,0.078
3.484,0.0,0.088
3.485,0.0,0.098
3.486,0.001,0.108
3.487,0.001,0.118
3.488,0.001,0.128
3.489,0.001,0.137
3.49,0.001,0.147
3.491,0.001,0.157
3.492,0.001,0.167
3.493,0.002,0.177
3.494,0.002,0.186
3.495,0.002,0.196
3.496,0.002,0.206
3.497,0.002,0.216
3.498,0.003,0.226
3.499,0.003,0.235
3.5,0.003,0.245
3.501,0.003,0.255
3.502,0.004,0.265
3.503,0.004,0.275
3.504,0.004,0.284
3.505,0.004,0.294
3.506,0.005,0.304
3.507,0.005,0.314
3.508,0.005,0.324
3.509,0.006,0.334
3.51,0.006,0.343
3.511,0.006,0.353
3.512,0.007,0.363
3.513,0.007,0.373
3.514,0.007,0.383
3.515,0.008,0.392
3.516,0.008,0.402
3.517,0.009,0.412
3.518,0.009,0.422
3.519,0.009,0.432
3.52,0.01,0.441
3.521,0.01,0.451
3.522,0.011,0.461
3.523,0.011,0.471
3.524,0.012,0.481
3.525,0.012,0.491
3.526,0.013,0.5
3.527,0.013,0.51
3.528,0.014,0.52
3.529,0.014,0.53
3.53,0.015,0.54
3.531,0.015,0.549
3.532,0.016,0.559
3.533,0.017,0.569
3.534,0.017,0.579
3.535,0.018,0.589
3.536,0.018,0.598
3.537,0.019,0.608
3.538,0.019,0.618
3.539,0.02,0.628
3.54,0.021,0.638
3.541,0.021,0.647
3.542,0.022,0.657
3.543,0.023,0.667
3.544,0.023,0.677
3.545,0.024,0.687
3.546,0.025,0.697
3.547,0.025,0.706
3.548,0.026,0.716
3.549,0.027,0.726
3.55,0.028,0.736
3.551,0.028,0.746
3.552,0.029,0.755
3.553,0.03,0.765
3.554,0.031,0.775
3.555,0.031,0.785
3.556,0.032,0.795
3.557,0.033,0.804
3.558,0.034,0.814
3.559,0.035,0.824
3.56,0.035,0.834
3.561,0.036,0.844
3.562,0.037,0.853
3.563,0.038,0.863
3.564,0.039,0.873
3.565,0.04,0.883
3.566,0.041,0.893
3.567,0.042,0.903
3.568,0.042,0.912
3.569,0.043,0.922
3.57,0.044,0.932
3.571,0.045,0.942
3.572,0.046,0.952
3.573,0.047,0.961
3.574,0.048,0.971
3.575,0.049,0.981
3.576,0.05,0.991
3.577,0.0,0.002
3.578,0.0,0.004
3.579,0.0,0.005
3.58,0.0,0.007
3.581,0.0,0.009
3.582,0.0,0.011
3.583,0.0,0.013
3.584,0.0,0.014
3.585,0.0,0.016
3.586,0.0,0.018
3.587,0.0,0.02
3.588,0.0,0.022
3.589,0.0,0.024
3.59,0.0,0.025
3.591,0.0,0.027
3.592,0.0,0.029
3.593,0.0,0.031
3.594,0.0,0.033
3.595,0.0,0.034
3.596,0.0,0.036
3.597,0.0,0.038
3.598,0.0,0.04
3.599,0.0,0.042
3.6,0.001,0.043
3.601,0.001,0.045
3.602,0.001,0.047
3.603,0.001,0.049
